freq,unit,tra_meas,airp_pr\TIME_PERIOD	2016-Q1 	2016-Q2 	2016-Q3 	2016-Q4 	2017-Q1 	2017-Q2 	2017-Q3 	2017-Q4 	2018-Q1 	2018-Q2 	2018-Q3 	2018-Q4 	2019-Q1 	2019-Q2 	2019-Q3 	2019-Q4 	2020-Q1 	2020-Q2 
Q,FLIGHT,CAF_PAS_ARR,FR_FMCZ_FR_FMEE	168 	139 	134 	106 	118 	116 	114 	100 	117 	101 	146 	107 	113 	115 	135 	118 	112 	40 
Q,FLIGHT,CAF_PAS_ARR,FR_FMCZ_FR_LFPG	: 	6 	27 	23 	27 	42 	49 	40 	33 	43 	42 	42 	32 	52 	80 	44 	33 	6 
Q,FLIGHT,CAF_PAS_ARR,FR_FMCZ_FR_LFPO	16 	17 	35 	18 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Q,FLIGHT,CAF_PAS_ARR,FR_FMCZ_KE_HKJK	40 	57 	47 	58 	52 	52 	43 	56 	50 	48 	43 	39 	38 	36 	36 	39 	37 	: 
Q,FLIGHT,CAF_PAS_ARR,FR_FMCZ_KM_FMCH	32 	33 	91 	75 	106 	119 	140 	82 	80 	58 	77 	68 	72 	45 	75 	49 	: 	: 
Q,FLIGHT,CAF_PAS_ARR,FR_FMCZ_KM_FMCV	393 	260 	345 	340 	213 	203 	302 	166 	204 	192 	277 	113 	115 	101 	138 	117 	: 	: 
Q,FLIGHT,CAF_PAS_ARR,FR_FMCZ_MG_FMMI	43 	26 	21 	39 	60 	63 	60 	38 	28 	26 	58 	18 	: 	: 	: 	: 	: 	: 
Q,FLIGHT,CAF_PAS_ARR,FR_FMCZ_MG_FMNM	44 	49 	55 	53 	55 	58 	63 	59 	59 	54 	60 	59 	54 	49 	62 	52 	: 	: 
Q,FLIGHT,CAF_PAS_ARR,FR_FMCZ_MG_FMNN	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	41 	44 	40 	43 	: 	: 
Q,FLIGHT,CAF_PAS_ARR,FR_FMEE_CN_ZGGG	: 	: 	: 	: 	: 	: 	: 	: 	15 	17 	21 	18 	18 	13 	13 	11 	: 	: 
Q,FLIGHT,CAF_PAS_ARR,FR_FMEE_FR_FMCZ	168 	136 	137 	106 	115 	118 	112 	103 	116 	105 	148 	108 	105 	110 	141 	125 	104 	42 
